"Gene","log2FC","p_value"
"Gene1",1.10606880577173,0.196376091567799
"Gene2",-0.973054765771724,0.153091926593333
"Gene3",-0.00800346239299946,0.145847649313509
"Gene4",0.417493050672988,0.214436708483845
"Gene5",-0.1288305948312,0.625814822269604
"Gene6",-0.816062636741476,0.407238953048363
"Gene7",0.108187382856393,0.331950354157016
"Gene8",-0.676878958736215,0.599702907260507
"Gene9",-0.04911732596332,0.285054418956861
"Gene10",-2.20175105886466,0.631625419482589
"Gene11",2.00371906636604,0.188332910183817
"Gene12",1.05010731666166,0.943807822652161
"Gene13",-1.67255201937003,0.0860000893007964
"Gene14",-1.52359500152016,0.628904098877683
"Gene15",-0.894541213412512,0.0670011297333986
"Gene16",-0.528388506114999,0.403644825099036
"Gene17",1.83924040028212,0.928826443152502
"Gene18",0.552961786266533,0.891056638443843
"Gene19",-1.70614017929925,0.743834356544539
"Gene20",0.0967146579310748,0.758120393147692
"Gene21",0.204543844041095,0.967169873183593
"Gene22",-1.97760731345259,0.00623326189815998
"Gene23",0.443952235118225,0.394633841700852
"Gene24",0.890122371622818,0.885404707863927
"Gene25",1.41030418231259,0.339337706333026
"Gene26",1.2579799460457,0.455218141432852
"Gene27",-1.20878418139753,0.0649789974559098
"Gene28",0.190976238403678,0.222085753688589
"Gene29",-1.11525297430354,0.70843863626942
"Gene30",-0.397287887201425,0.983950135530904
"Gene31",0.32637015041566,0.649066012585536
"Gene32",-0.00728731516326421,0.204002470476553
"Gene33",1.67817547968403,0.929946043528616
"Gene34",1.85448358861107,0.88246429990977
"Gene35",-0.602201360057971,0.536687975982204
"Gene36",-0.539217999638405,0.659515138482675
"Gene37",-0.389011752741672,0.524952815379947
"Gene38",1.13729942062341,0.1276813254226
"Gene39",-1.41627770607907,0.374835735885426
"Gene40",-1.36718994622387,0.497285487130284
"Gene41",-0.897477729546103,0.598238376202062
"Gene42",-2.22404743022605,0.285533127607778
"Gene43",1.06562464294473,0.316505071241409
"Gene44",0.573493798691336,0.626918649068102
"Gene45",0.105591598141497,0.655406746082008
"Gene46",-1.64747589523792,0.173275819746777
"Gene47",0.191570638099105,0.451669653877616
"Gene48",-0.417480086432249,0.812306270003319
"Gene49",0.380596485555738,0.612246760865673
"Gene50",0.0378356240262238,0.700132653350011
"Gene51",-0.286258744136882,0.832061375956982
"Gene52",0.194968992110017,0.992664601420984
"Gene53",0.645224619939969,0.465058931149542
"Gene54",-0.721403389444752,0.0990682411938906
"Gene55",0.579909586751187,0.592984382994473
"Gene56",0.174778663731045,0.312028100714087
"Gene57",0.0861649022316666,0.466563482536003
"Gene58",-1.04407170619199,0.944632104365155
"Gene59",0.870090330488724,0.940418925601989
"Gene60",-0.750897033997696,0.962810466997325
"Gene61",1.5194330840947,0.344154169550166
"Gene62",-1.98736777091314,0.589036521269009
"Gene63",0.42608271329007,0.656377899693325
"Gene64",0.333137653760464,0.448846891755238
"Gene65",-0.0947256083192108,0.105711626354605
"Gene66",-0.696148996311744,0.802128039067611
"Gene67",-0.305473686025764,0.442115511978045
"Gene68",-0.757144361015242,0.79952798015438
"Gene69",-0.641255904772753,0.284198124660179
"Gene70",-1.49323574168,0.135843948693946
"Gene71",1.49672106770071,0.670706226024777
"Gene72",-0.224488352503157,0.368082613451406
"Gene73",0.379736299610319,0.66096632508561
"Gene74",2.15887891266554,0.413625943474472
"Gene75",0.112610643660423,0.934413859853521
"Gene76",0.847060385621127,0.482222571736202
"Gene77",1.72844318418997,0.618733192561194
"Gene78",-0.674959258560643,0.978331110905856
"Gene79",-0.340941754775773,0.11912089260295
"Gene80",0.11326143046865,0.993013953091577
"Gene81",0.928574322382029,0.583102711243555
"Gene82",0.141309972361338,0.441366813611239
"Gene83",2.22319006726443,0.509616679046303
"Gene84",-1.20152724487424,0.874462058767676
"Gene85",0.262403246028143,0.251647090306506
"Gene86",1.09029331807654,0.0428460002876818
"Gene87",0.844612387872332,0.735726170241833
"Gene88",0.0431408978526875,0.503821924328804
"Gene89",-0.585010327128457,0.271460839547217
"Gene90",-0.877455965528188,0.738289102911949
"Gene91",-0.284074099900119,0.37075556255877
"Gene92",-1.11683163682521,0.0929976878687739
"Gene93",0.559970272159889,0.994966080645099
"Gene94",-0.120180653539358,0.441354157170281
"Gene95",-1.76771620681458,0.0557975966949016
"Gene96",1.16494449411016,0.103781380224973
"Gene97",2.04502908353189,0.173137689707801
"Gene98",0.884775437083538,0.373888274887577
"Gene99",0.720795676872735,0.243964110501111
"Gene100",1.36999102510276,0.708653551759198
"Gene101",1.12861363998785,0.380412148544565
"Gene102",1.53573997836213,0.334953726734966
"Gene103",1.13402230124512,0.868997044861317
